epoch,batch,train_loss,train_accuracy
17,217,0.15086883,0.96875
17,218,0.010690328,1.0
17,219,0.056067422,0.96875
17,220,0.12564842,0.9375
17,221,0.0339532,1.0
18,222,0.088332124,0.9375
18,223,0.02018648,1.0
18,224,0.24961732,0.84375
18,225,0.06314611,0.96875
18,226,0.041357905,1.0
18,227,0.12101286,0.9375
18,228,0.056305934,0.96875
18,229,0.15918398,0.96875
18,230,0.04293429,1.0
18,231,0.028229646,1.0
18,232,0.030639598,1.0
18,233,0.017600346,1.0
18,234,0.3675056,0.9375
19,235,0.018970778,1.0
19,236,0.028924627,1.0
19,237,0.047731616,1.0
19,238,0.027873328,1.0
19,239,0.123735555,0.9375
19,240,0.031689793,1.0
19,241,0.01644071,1.0
19,242,0.092583105,0.9375
19,243,0.02723356,1.0
19,244,0.007339983,1.0
19,245,0.011291328,1.0
19,246,0.06305405,0.96875
19,247,0.48419353,0.9375
20,248,0.013351827,1.0
20,249,0.07998775,0.9375
20,250,0.01192556,1.0
20,251,0.025558539,1.0
20,252,0.037518013,1.0
20,253,0.028214019,1.0
20,254,0.03852664,0.96875
20,255,0.00893105,1.0
20,256,0.014629376,1.0
20,257,0.02050568,1.0
20,258,0.036959413,1.0
20,259,0.018619237,1.0
20,260,0.17916487,0.9375
21,261,0.03688442,1.0
21,262,0.0057234536,1.0
21,263,0.045077607,0.96875
21,264,0.15850522,0.96875
21,265,0.0036773826,1.0
21,266,0.008879234,1.0
21,267,0.1235162,0.9375
21,268,0.1070738,0.96875
21,269,0.09048078,0.9375
21,270,0.09870623,0.96875
21,271,0.019851636,1.0
21,272,0.0047677304,1.0
21,273,0.7440899,0.8125
22,274,0.16484573,0.96875
22,275,0.014365104,1.0
22,276,0.0145959435,1.0
22,277,0.09661957,0.96875
22,278,0.18011835,0.9375
22,279,0.0043597207,1.0
22,280,0.011067781,1.0
22,281,0.011747177,1.0
22,282,0.1323227,0.90625
22,283,0.0062005436,1.0
22,284,0.07307975,0.96875
22,285,0.06876275,0.96875
22,286,0.004735838,1.0
23,287,0.06631871,0.96875
23,288,0.0561017,0.96875
23,289,0.02036822,1.0
23,290,0.009494241,1.0
23,291,0.058014028,1.0
23,292,0.054920405,0.96875
23,293,0.12192222,0.96875
23,294,0.16378695,0.96875
23,295,0.003664177,1.0
23,296,0.024273004,1.0
23,297,0.00382984,1.0
23,298,0.12282807,0.96875
23,299,0.055221517,1.0
24,300,0.04449912,1.0
24,301,0.05111194,0.96875
24,302,0.049317367,1.0
24,303,0.0030910168,1.0
24,304,0.011024419,1.0
24,305,0.1742127,0.96875
24,306,0.02815842,1.0
24,307,0.21435025,0.875
24,308,0.0069477893,1.0
24,309,0.015653668,1.0
24,310,0.05672322,0.96875
24,311,0.12404144,0.90625
24,312,0.060275916,0.9375
25,313,0.045105457,0.96875
25,314,0.0038523036,1.0
25,315,0.026718814,1.0
25,316,0.018480767,1.0
25,317,0.02936206,1.0
25,318,0.035749137,1.0
25,319,0.048263732,0.96875
25,320,0.07838118,0.96875
25,321,0.0057914206,1.0
25,322,0.057153024,0.96875
25,323,0.014426662,1.0
25,324,0.010043661,1.0
25,325,0.046082597,1.0
26,326,0.0038356222,1.0
26,327,0.121272616,0.90625
26,328,0.023411578,1.0
26,329,0.025026713,1.0
26,330,0.036064524,1.0
26,331,0.0053710453,1.0
26,332,0.033293627,1.0
26,333,0.031463426,1.0
26,334,0.10585588,0.9375
26,335,0.0053320625,1.0
26,336,0.0023252182,1.0
26,337,0.030867679,0.96875
26,338,0.007213677,1.0
27,339,0.007109091,1.0
27,340,0.025878556,1.0
27,341,0.039864752,1.0
27,342,0.0050682616,1.0
27,343,0.008670416,1.0
27,344,0.087288976,0.96875
27,345,0.14251767,0.96875
27,346,0.010964978,1.0
27,347,0.013488397,1.0
27,348,0.0060864855,1.0
27,349,0.08504514,0.96875
27,350,0.032657593,1.0
27,351,0.09032391,1.0
28,352,0.10679188,0.96875
28,353,0.40161732,0.875
28,354,0.059932332,0.96875
28,355,0.028453283,1.0
28,356,0.030073132,1.0
28,357,0.13834457,0.96875
28,358,0.010258377,1.0
28,359,0.08456103,0.96875
28,360,0.14317809,0.96875
28,361,0.012278311,1.0
28,362,0.009369533,1.0
28,363,0.031565912,1.0
28,364,0.033568844,1.0
29,365,0.10860717,0.96875
29,366,0.10505411,0.96875
29,367,0.011980274,1.0
29,368,0.016466077,1.0
29,369,0.08207553,0.96875
29,370,0.0039235833,1.0
29,371,0.024079522,1.0
29,372,0.009481125,1.0
29,373,0.011414264,1.0
29,374,0.050096646,0.96875
29,375,0.025387213,1.0
29,376,0.06167157,0.96875
29,377,0.091124915,1.0
30,378,0.0027272992,1.0
30,379,0.019182365,1.0
30,380,0.0044903485,1.0
30,381,0.00914678,1.0
30,382,0.021320319,1.0
30,383,0.024756782,1.0
30,384,0.008345641,1.0
30,385,0.02845789,1.0
30,386,0.0090676285,1.0
30,387,0.027050208,1.0
30,388,0.10779934,0.96875
30,389,0.02715484,1.0
30,390,0.003759727,1.0
